,rowCol,traffic_spot,industry,commercial,nala
272.0,"(0, 6)",2.716200873243156,11.502570253675927,0.000465037647528457,0.0065724267344913516
273.0,"(0, 5)",2.8793154341995297,11.723637543983223,0.0004463722779803979,0.006466130655725108
274.0,"(0, 4)",2.9381560333519223,11.9647953983056,0.0004286452966574467,0.006356934034460492
275.0,"(0, 3)",2.974296897284891,12.229088190998967,0.00041194726840699787,0.006245344468800285
276.0,"(0, 2)",2.9965185629033915,12.520023978809649,0.0003962825111853259,0.00613188281425763
316.0,"(1, 9)",3.010886123853684,10.900349005654338,0.0005605392109005994,0.0071273043041512624
317.0,"(1, 8)",2.977277142434506,11.073906507325148,0.0005359950103295566,0.007023538467586283
318.0,"(1, 7)",2.938039583475871,11.260487772410029,0.0005114121668069869,0.00691524920533404
319.0,"(1, 6)",2.916486279586182,11.462300762365095,0.0004878352404492841,0.006802868363683739
320.0,"(1, 5)",2.9360873248663535,11.68179173006906,0.0004657291716317133,0.006686889656321122
321.0,"(1, 4)",2.959661153020193,11.921697740578098,0.0004452202380349914,0.006567856839842085
322.0,"(1, 3)",2.980094763877598,12.185121056691306,0.00042626748476819523,0.006446348344356872
323.0,"(1, 2)",2.9960476010944905,12.475630129760575,0.0004087602636082048,0.006322960393288855
363.0,"(2, 9)",2.994108580145391,10.861018575893818,0.0006057836148792945,0.007403766524425306
364.0,"(2, 8)",2.9630147507239815,11.031126007937583,0.0005726501264238579,0.007290145128599626
365.0,"(2, 7)",2.9360462242050516,11.214199012373047,0.0005410540303230102,0.007171644467635772
366.0,"(2, 6)",2.9402854608358115,11.41246405179747,0.0005120580882964538,0.007048729801372789
367.0,"(2, 5)",2.972230913342915,11.628351662081068,0.0004858206987551116,0.006921954400813888
368.0,"(2, 4)",2.971244116068493,11.864540705569341,0.0004621389553349006,0.006791940569497514
369.0,"(2, 3)",2.9840467287958483,12.124022437101699,0.00044070976520520645,0.006659356897549595
370.0,"(2, 2)",2.995323633132168,12.410185635173866,0.0004212332727737948,0.00652489449398602
408.0,"(3, 11)",3.0552533958433643,10.516319687441412,0.0007515260133371788,0.007932469445191295
409.0,"(3, 10)",2.910934268497455,10.662276580872863,0.0007099665867828605,0.007819559557389675
410.0,"(3, 9)",2.9859079210485215,10.816999640183205,0.0006608921235975755,0.007700740414066281
411.0,"(3, 8)",2.9165437721884917,10.982417514689987,0.0006141118254158345,0.00757622322217568
412.0,"(3, 7)",2.8337028041378747,11.160592431331374,0.0005728421748134187,0.007446372906792153
413.0,"(3, 6)",2.9169832418691786,11.35371798764612,0.0005371368946535129,0.0073116993562480515
414.0,"(3, 5)",2.956209414690524,11.564131787127232,0.0005061611203567448,0.007172835491068974
415.0,"(3, 4)",2.974016637414377,11.794344514851485,0.0004790238672982965,0.007030507362136879
416.0,"(3, 3)",2.984639729234671,12.04708385369908,0.00045498805260780107,0.006885500788056303
